rstar,brcnt,bstar,checkins,compliments,fans,rdate,urcnt,ustar,uvotes,ysince,avg_star_elite,avg_star_nonelite
0.000,371.834,0.469,1543.292,271.995,10.874,578.133,144.498,0.464,1141.633,21.230,0.074,0.170
1.115,0.000,0.463,208.699,277.339,11.167,573.628,151.169,0.514,1172.553,21.282,0.068,0.156
0.936,361.500,0.000,1517.499,277.917,11.226,583.548,151.884,0.505,1175.506,21.556,0.073,0.126
1.107,41.881,0.431,0.000,276.358,11.104,567.106,149.824,0.514,1166.154,21.176,0.064,0.146
1.134,366.010,0.540,1525.716,0.111,1.832,510.720,48.019,0.502,124.075,17.073,0.073,0.175
1.136,369.866,0.542,1535.422,70.754,0.000,540.698,57.448,0.512,252.525,18.565,0.073,0.174
1.136,371.208,0.539,1545.676,267.973,10.623,0.000,142.262,0.514,1119.947,15.933,0.073,0.175
1.133,364.667,0.540,1520.503,83.921,3.153,525.391,0.000,0.504,261.233,17.329,0.073,0.175
0.890,369.825,0.520,1535.612,259.310,10.151,557.076,128.163,0.000,1068.620,19.647,0.074,0.174
1.130,361.275,0.538,1513.472,13.721,1.227,488.114,25.212,0.490,0.001,15.540,0.073,0.175
1.136,369.454,0.542,1538.304,253.137,9.837,425.228,129.446,0.513,1035.653,0.000,0.073,0.175
1.072,23.865,0.315,90.781,272.938,10.916,529.109,145.850,0.511,1148.336,20.530,0.000,0.109
1.006,6.010,0.143,29.539,272.095,10.856,501.592,144.127,0.509,1143.306,20.195,0.025,0.000
1.136,338.993,0.542,1428.196,276.673,11.215,591.344,151.457,0.514,1175.622,21.666,0.071,0.174
1.104,245.443,0.448,1052.497,277.330,11.182,569.425,151.051,0.514,1172.439,21.357,0.064,0.150
1.119,340.205,0.540,1479.352,2.495,0.300,348.537,8.451,0.303,21.242,7.592,0.075,0.180
